Año;Semana;DiaInicio;DiaFinal;Total
2019;2019-49;2/12/2019;8/12/2019;4186
2019;2019-50;9/12/2019;15/12/2019;4132
2019;2019-51;16/12/2019;22/12/2019;4153
2019;2019-52;23/12/2019;29/12/2019;4275
2020pr;2020pr-1;30/12/2019;5/01/2020;4365
2020pr;2020pr-2;6/01/2020;12/01/2020;4461
2020pr;2020pr-3;13/01/2020;19/01/2020;4340
2020pr;2020pr-4;20/01/2020;26/01/2020;4211
2020pr;2020pr-5;27/01/2020;2/02/2020;4103
2020pr;2020pr-6;3/02/2020;9/02/2020;4164
2020pr;2020pr-7;10/02/2020;16/02/2020;4190
2020pr;2020pr-8;17/02/2020;23/02/2020;4101
2020pr;2020pr-9;24/02/2020;1/03/2020;4012
2020pr;2020pr-10;2/03/2020;8/03/2020;3962
2020pr;2020pr-11;9/03/2020;15/03/2020;3918
2020pr;2020pr-12;16/03/2020;22/03/2020;4061
2020pr;2020pr-13;23/03/2020;29/03/2020;4065
2020pr;2020pr-14;30/03/2020;5/04/2020;3866
2020pr;2020pr-15;6/04/2020;12/04/2020;3952
2020pr;2020pr-16;13/04/2020;19/04/2020;4019
2020pr;2020pr-17;20/04/2020;26/04/2020;3968
2020pr;2020pr-18;27/04/2020;3/05/2020;3864
2020pr;2020pr-19;4/05/2020;10/05/2020;4059
2020pr;2020pr-20;11/05/2020;17/05/2020;4159
2020pr;2020pr-21;18/05/2020;24/05/2020;4266
2020pr;2020pr-22;25/05/2020;31/05/2020;4324
2020pr;2020pr-23;1/06/2020;7/06/2020;4720
2020pr;2020pr-24;8/06/2020;14/06/2020;4849
2020pr;2020pr-25;15/06/2020;21/06/2020;5329
2020pr;2020pr-26;22/06/2020;28/06/2020;5650
2020pr;2020pr-27;29/06/2020;5/07/2020;5778
2020pr;2020pr-28;6/07/2020;12/07/2020;6252
2020pr;2020pr-29;13/07/2020;19/07/2020;6828
2020pr;2020pr-30;20/07/2020;26/07/2020;7246
2020pr;2020pr-31;27/07/2020;2/08/2020;7520
2020pr;2020pr-32;3/08/2020;9/08/2020;7391
2020pr;2020pr-33;10/08/2020;16/08/2020;7147
2020pr;2020pr-34;17/08/2020;23/08/2020;6647
2020pr;2020pr-35;24/08/2020;30/08/2020;6285
2020pr;2020pr-36;31/08/2020;6/09/2020;6063
2020pr;2020pr-37;7/09/2020;13/09/2020;5782
2020pr;2020pr-38;14/09/2020;20/09/2020;5695
2020pr;2020pr-39;21/09/2020;27/09/2020;5632
2020pr;2020pr-40;28/09/2020;4/10/2020;5478
2020pr;2020pr-41;5/10/2020;11/10/2020;5591
2020pr;2020pr-42;12/10/2020;18/10/2020;5634
2020pr;2020pr-43;19/10/2020;25/10/2020;5740
2020pr;2020pr-44;26/10/2020;1/11/2020;5604
2020pr;2020pr-45;2/11/2020;8/11/2020;5720
2020pr;2020pr-46;9/11/2020;15/11/2020;5567
2020pr;2020pr-47;16/11/2020;22/11/2020;5697
2020pr;2020pr-48;23/11/2020;29/11/2020;5656
2020pr;2020pr-49;30/11/2020;6/12/2020;5671
2020pr;2020pr-50;7/12/2020;13/12/2020;6008
2020pr;2020pr-51;14/12/2020;20/12/2020;6126
2020pr;2020pr-52;21/12/2020;27/12/2020;6521
2020pr;2020pr-53;28/12/2020;3/01/2021;7097
2021pr;2021pr-1;4/01/2021;10/01/2021;7437
2021pr;2021pr-2;11/01/2021;17/01/2021;7931
2021pr;2021pr-3;18/01/2021;24/01/2021;7897
2021pr;2021pr-4;25/01/2021;31/01/2021;7094
2021pr;2021pr-5;1/02/2021;7/02/2021;6448
2021pr;2021pr-6;8/02/2021;14/02/2021;5762
2021pr;2021pr-7;15/02/2021;21/02/2021;5371
2021pr;2021pr-8;22/02/2021;28/02/2021;4995
2021pr;2021pr-9;1/03/2021;7/03/2021;4976
2021pr;2021pr-10;8/03/2021;14/03/2021;4810
2021pr;2021pr-11;15/03/2021;21/03/2021;5021
2021pr;2021pr-12;22/03/2021;28/03/2021;5413
2021pr;2021pr-13;29/03/2021;4/04/2021;6000
2021pr;2021pr-14;5/04/2021;11/04/2021;6685
2021pr;2021pr-15;12/04/2021;18/04/2021;7864
2021pr;2021pr-16;19/04/2021;25/04/2021;8184
2021pr;2021pr-17;26/04/2021;2/05/2021;8305
2021pr;2021pr-18;3/05/2021;9/05/2021;8295
2021pr;2021pr-19;10/05/2021;16/05/2021;8369
2021pr;2021pr-20;17/05/2021;23/05/2021;8446
2021pr;2021pr-21;24/05/2021;30/05/2021;8669
2021pr;2021pr-22;31/05/2021;6/06/2021;9163
2021pr;2021pr-23;7/06/2021;13/06/2021;9467
2021pr;2021pr-24;14/06/2021;20/06/2021;9823
2021pr;2021pr-25;21/06/2021;27/06/2021;9864
2021pr;2021pr-26;28/06/2021;4/07/2021;9710
2021pr;2021pr-27;5/07/2021;11/07/2021;8969
2021pr;2021pr-28;12/07/2021;18/07/2021;8177
2021pr;2021pr-29;19/07/2021;25/07/2021;7143
2021pr;2021pr-30;26/07/2021;1/08/2021;6440
2021pr;2021pr-31;2/08/2021;8/08/2021;5613
2021pr;2021pr-32;9/08/2021;15/08/2021;5198
2021pr;2021pr-33;16/08/2021;22/08/2021;4987
2021pr;2021pr-34;23/08/2021;29/08/2021;4668
2021pr;2021pr-35;30/08/2021;5/09/2021;4436
